R-DRE-73857	RNA Polymerase II Transcription	270	524	13	9	8	6	6	5	13	4	4	9	520	4359	0.99144	0.042386	0.042386	0.76	58013;556710;321947;30678	noc2l;taf10;psmc3;pcna	ENSDARG00000001754;ENSDARG00000068641;ENSDARG00000007141;ENSDARG00000054155		324.47873	270.5372	1.01952	379.32149417353907	160.55476843355768	329.62095325342074	153.25288725	144.32706499999998	0.450419	175.66174700002995	74.22513757405015	151.2063691691013	697.0968725	511.2049	2.30769	844.3539205218096	352.5357311462137	734.2763561368258					755.821;1.01952;530.492;10.5824	323.907;0.450419;285.643;3.01113	1763.67;2.30769;985.219;37.1908	3	1	3	556710;321947;30678	ENSDARG00000068641;ENSDARG00000007141;ENSDARG00000054155	180.6979733333333	10.5824	302.9682458397813	96.36818299999999	3.01113	163.92180017616323	341.57249666666667	37.1908	557.6870303142597	1.01952;530.492;10.5824	0.450419;285.643;3.01113	2.30769;985.219;37.1908	1	58013	ENSDARG00000001754	755.821	755.821		323.907	323.907		1763.67	1763.67		755.821	323.907	1763.67	0						Exp 5,1(0.25);Hill,1(0.25);Linear,2(0.5)	Infinity	Infinity	1.9148547649383545	Infinity	NaN	4.08582878112793	-47.25633429006842	696.2137942900683	-18.895624810029318	325.4013993100293	-130.36996961137345	1524.5637146113736	UP	0.75	0.25	0.0	
R-DRE-74160	Gene expression (Transcription)	306	586	15	11	10	6	6	5	15	4	4	9	582	4297	0.9863	0.060269	0.060269	0.68	58013;556710;321947;30678	noc2l;taf10;psmc3;pcna	ENSDARG00000001754;ENSDARG00000068641;ENSDARG00000007141;ENSDARG00000054155		324.47873	270.5372	1.01952	379.32149417353907	160.55476843355768	329.62095325342074	153.25288725	144.32706499999998	0.450419	175.66174700002995	74.22513757405015	151.2063691691013	697.0968725	511.2049	2.30769	844.3539205218096	352.5357311462137	734.2763561368258					755.821;1.01952;530.492;10.5824	323.907;0.450419;285.643;3.01113	1763.67;2.30769;985.219;37.1908	3	1	3	556710;321947;30678	ENSDARG00000068641;ENSDARG00000007141;ENSDARG00000054155	180.6979733333333	10.5824	302.9682458397813	96.36818299999999	3.01113	163.92180017616323	341.57249666666667	37.1908	557.6870303142597	1.01952;530.492;10.5824	0.450419;285.643;3.01113	2.30769;985.219;37.1908	1	58013	ENSDARG00000001754	755.821	755.821		323.907	323.907		1763.67	1763.67		755.821	323.907	1763.67	0						Exp 5,1(0.25);Hill,1(0.25);Linear,2(0.5)	Infinity	Infinity	1.9148547649383545	Infinity	NaN	4.08582878112793	-47.25633429006842	696.2137942900683	-18.895624810029318	325.4013993100293	-130.36996961137345	1524.5637146113736	UP	0.75	0.25	0.0	
R-DRE-8878166	Transcriptional regulation by RUNX2	34	48	4	3	3	2	2	1	4	1	1	12	47	4832	0.99314	0.12045	0.12045	2.08	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-8939211	ESR-mediated signaling	68	118	2	1	0	2	2	2	2	0	0	13	118	4761	0.72774	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-8948751	Regulation of PTEN stability and activity	32	46	5	3	3	2	2	1	5	1	1	12	45	4834	0.99368	0.11571	0.11571	2.17	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-9006925	Intracellular signaling by second messengers	88	175	6	4	3	3	3	2	6	1	1	12	174	4705	0.92336	0.37759	0.37759	0.57	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-9006931	Signaling by Nuclear Receptors	93	155	3	2	1	2	2	2	3	0	0	13	155	4724	0.65765	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-9006934	Signaling by Receptor Tyrosine Kinases	142	254	3	3	1	2	2	2	3	0	0	13	254	4625	0.49957	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-9009391	Extra-nuclear estrogen signaling	24	44	1	1	0	1	1	1	1	0	0	13	44	4835	0.88905	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-211945	Phase I - Functionalization of compounds	37	61	5	3	3	3	3	3	5	1	1	12	60	4819	0.98908	0.15068	0.15068	1.64	100151256	cmbl	ENSDARG00000073786		342.201	342.201	342.201		342.201		216.374	216.374	216.374		216.374		541.199	541.199	541.199		541.199						342.201	216.374	541.199	1	0	1	100151256	ENSDARG00000073786	342.201	342.201		216.374	216.374		541.199	541.199		342.201	216.374	541.199	0															0						Linear,1(1)	3.2105505466461186	3.210550546646118	3.210550546646118	3.210550546646118	0.0	3.210550546646118	342.201	342.201	216.374	216.374	541.199	541.199	UP	1.0	0.0	0.0	
R-DRE-418594	G alpha (i) signalling events	45	166	3	3	2	1	1	1	3	0	0	13	166	4713	0.63804	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-983168	Antigen processing: Ubiquitination & Proteasome degradation	91	193	7	4	3	3	3	2	7	1	1	12	192	4687	0.9092	0.40781	0.40781	0.52	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-983169	Class I MHC mediated antigen processing & presentation	104	231	7	4	3	3	3	2	7	1	1	12	230	4649	0.87695	0.4672	0.4672	0.43	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-397014	Muscle contraction	45	92	1	1	1	1	1	0	1	0	0	13	92	4787	0.78105	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5576891	Cardiac conduction	18	61	1	1	1	1	1	0	1	0	0	13	61	4818	0.84932	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-1236975	Antigen processing-Cross presentation	33	65	4	3	3	2	2	1	4	1	1	12	64	4815	0.98766	0.15979	0.15979	1.54	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-382551	Transport of small molecules	185	372	9	6	6	4	4	3	9	2	2	11	370	4509	0.92955	0.25962	0.25962	0.54	324944;321947	magt1;psmc3	ENSDARG00000058062;ENSDARG00000007141		546.3050000000001	546.3050000000001	530.492	22.362959061802005	549.8043033736269	21.808523329161943	284.188	284.188	282.733	2.057680733252638	283.8660189458909	2.0066654931949977	1051.3995	1051.3995	985.219	93.59336066463327	1066.0447695199082	91.27293860656994					562.118;530.492	282.733;285.643	1117.58;985.219	2	0	2	324944;321947	ENSDARG00000058062;ENSDARG00000007141	546.3050000000001	546.3050000000001	22.362959061802005	284.188	284.188	2.057680733252638	1051.3995	1051.3995	93.59336066463327	562.118;530.492	282.733;285.643	1117.58;985.219	0															0						Linear,2(1)	Infinity	Infinity	11.15134048461914	Infinity	NaN	Infinity	515.31152	577.2984800000002	281.3362	287.03979999999996	921.6857200000002	1181.1132799999998	UP	1.0	0.0	0.0	
R-DRE-5673001	RAF/MAP kinase cascade	85	157	6	5	4	3	3	2	6	1	1	12	156	4723	0.93668	0.34596	0.34596	0.64	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-5683057	MAPK family signaling cascades	101	180	8	6	4	5	5	4	8	1	1	12	179	4700	0.91951	0.38613	0.38613	0.56	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-5684996	MAPK1/MAPK3 signaling	87	161	7	5	4	4	4	3	7	1	1	12	160	4719	0.9338	0.35311	0.35311	0.62	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-6811558	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling	26	67	1	1	0	1	1	1	1	0	0	13	67	4812	0.83569	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-194315	Signaling by Rho GTPases	198	394	7	3	2	4	4	3	7	0	0	13	394	4485	0.33521	1.0	0.61726	0.0																														0	0	0															0															0																							
R-DRE-195258	RHO GTPase Effectors	98	179	3	3	2	1	1	1	3	0	0	13	179	4700	0.61557	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-2467813	Separation of Sister Chromatids	71	129	4	3	3	2	2	1	4	1	1	12	128	4751	0.95549	0.29379	0.29379	0.78	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-2555396	Mitotic Metaphase and Anaphase	85	156	5	3	3	2	2	1	5	1	1	12	155	4724	0.93739	0.34416	0.34416	0.64	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-5663220	RHO GTPases Activate Formins	42	79	2	2	1	1	1	1	2	0	0	13	79	4800	0.80904	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-68877	Mitotic Prometaphase	55	119	1	0	0	0	0	0	1	0	0	13	119	4760	0.72576	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-68882	Mitotic Anaphase	85	155	5	3	3	2	2	1	5	1	1	12	154	4725	0.9381	0.34235	0.34235	0.65	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-68886	M Phase	126	252	7	4	4	2	2	1	7	1	1	12	251	4628	0.858	0.49762	0.49762	0.4	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-69620	Cell Cycle Checkpoints	94	187	4	3	3	2	2	1	4	1	1	12	186	4693	0.91401	0.39789	0.39789	0.53	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-9716542	Signaling by Rho GTPases, Miro GTPases and RHOBTB3	202	403	7	3	2	4	4	3	7	0	0	13	403	4476	0.32659	1.0	0.61783	0.0																														0	0	0															0															0																							
R-DRE-1632852	Macroautophagy	56	85	1	0	0	0	0	0	1	0	0	13	85	4794	0.79601	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-9612973	Autophagy	56	85	1	0	0	0	0	0	1	0	0	13	85	4794	0.79601	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-156827	L13a-mediated translational silencing of Ceruloplasmin expression	75	76	2	2	2	0	0	0	2	0	0	13	76	4803	0.81563	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-1799339	SRP-dependent cotranslational protein targeting to membrane	63	64	1	1	1	0	0	0	1	0	0	13	64	4815	0.84248	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-6791226	Major pathway of rRNA processing in the nucleolus and cytosol	101	118	6	3	3	2	2	1	6	0	0	13	118	4761	0.72774	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-72312	rRNA processing	101	118	6	3	3	2	2	1	6	0	0	13	118	4761	0.72774	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-72613	Eukaryotic Translation Initiation	78	79	2	2	2	0	0	0	2	0	0	13	79	4800	0.80904	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-72649	Translation initiation complex formation	41	42	1	1	1	0	0	0	1	0	0	13	42	4837	0.89384	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-72662	Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S	41	42	1	1	1	0	0	0	1	0	0	13	42	4837	0.89384	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-72689	Formation of a pool of free 40S subunits	70	71	2	2	2	0	0	0	2	0	0	13	71	4808	0.82672	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-72695	Formation of the ternary complex, and subsequently, the 43S complex	38	39	1	1	1	0	0	0	1	0	0	13	39	4840	0.90106	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-72702	Ribosomal scanning and start codon recognition	40	41	1	1	1	0	0	0	1	0	0	13	41	4838	0.89624	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-72706	GTP hydrolysis and joining of the 60S ribosomal subunit	74	75	2	2	2	0	0	0	2	0	0	13	75	4804	0.81783	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-72737	Cap-dependent Translation Initiation	78	79	2	2	2	0	0	0	2	0	0	13	79	4800	0.80904	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-72766	Translation	133	145	4	4	4	2	2	2	4	2	2	11	143	4736	0.99414	0.054955	0.054955	1.38	447915;393748	mrpl53;mrpl57	ENSDARG00000008920;ENSDARG00000007285		559.293	559.293	478.594	114.12562026994654	517.8940497536483	97.96382515500386	289.8845	289.8845	270.381	27.582114213743104	279.879116709876	23.67609838920637	1085.509	1085.509	847.148	337.093358940813	963.2287340776139	289.3561918706775					478.594;639.992	270.381;309.388	847.148;1323.87	2	0	2	447915;393748	ENSDARG00000008920;ENSDARG00000007285	559.293	559.293	114.12562026994654	289.8845	289.8845	27.582114213743104	1085.509	1085.509	337.093358940813	478.594;639.992	270.381;309.388	847.148;1323.87	0															0						Linear,2(1)	Infinity	Infinity	3.6873879432678223	Infinity	NaN	Infinity	401.12296000000003	717.46304	251.65764	328.11136	618.3214400000002	1552.6965599999999	UP	1.0	0.0	0.0	
R-DRE-8868773	rRNA processing in the nucleus and cytosol	101	118	6	3	3	2	2	1	6	0	0	13	118	4761	0.72774	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-8953854	Metabolism of RNA	284	372	16	11	9	7	7	4	16	1	1	12	371	4508	0.74038	0.64281	1.0	0.27	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-927802	Nonsense-Mediated Decay (NMD)	73	77	1	1	1	0	0	0	1	0	0	13	77	4802	0.81342	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-975956	Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)	62	63	1	1	1	0	0	0	1	0	0	13	63	4816	0.84475	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-975957	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	73	77	1	1	1	0	0	0	1	0	0	13	77	4802	0.81342	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-1236978	Cross-presentation of soluble exogenous antigens (endosomes)	25	40	4	3	3	2	2	1	4	1	1	12	39	4840	0.9952	0.10135	0.10135	2.5	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-196854	Metabolism of vitamins and cofactors	44	90	2	0	0	1	1	1	2	0	0	13	90	4789	0.7853	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-9012999	RHO GTPase cycle	123	252	5	1	0	4	4	3	5	0	0	13	252	4627	0.50238	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-1630316	Glycosaminoglycan metabolism	15	78	2	1	1	0	0	0	2	0	0	13	78	4801	0.81123	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-71387	Metabolism of carbohydrates	54	148	4	3	3	0	0	0	4	0	0	13	148	4731	0.67041	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-166016	Toll Like Receptor 4 (TLR4) Cascade	25	49	1	1	0	1	1	1	1	0	0	13	49	4830	0.87719	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-166058	MyD88:MAL(TIRAP) cascade initiated on plasma membrane	25	46	1	1	0	1	1	1	1	0	0	13	46	4833	0.88429	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-166166	MyD88-independent TLR4 cascade 	24	45	1	1	0	1	1	1	1	0	0	13	45	4834	0.88667	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-166520	Signaling by NTRKs	33	49	2	2	0	2	2	2	2	0	0	13	49	4830	0.87719	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-168138	Toll Like Receptor 9 (TLR9) Cascade	26	49	1	1	0	1	1	1	1	0	0	13	49	4830	0.87719	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-168142	Toll Like Receptor 10 (TLR10) Cascade	25	46	1	1	0	1	1	1	1	0	0	13	46	4833	0.88429	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-168164	Toll Like Receptor 3 (TLR3) Cascade	24	45	1	1	0	1	1	1	1	0	0	13	45	4834	0.88667	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-168176	Toll Like Receptor 5 (TLR5) Cascade	25	46	1	1	0	1	1	1	1	0	0	13	46	4833	0.88429	1.0	1.0	0.0																														0	0	0															0															0																							
