1535	Factors involved in megakaryocyte development and platelet production	92	124	51	50	19	47	49	46	50	16	16	878	108	7985	0.89268	0.16817	0.28775	12.9	12345;14465;242517;15968;63955;17134;319899;105445;26934;16551;16593;229841;11350;16363;19353;330662	capzb;gata6;ifna15;ifna5;cables1;mafg;dock6;dock9;racgap1;kif11;klc1;cenpe;abl1;irf2;rac1;dock1	Capzb_57217;Gata6_30011;Ifna15_82152;Ifna5_56192;Cables1_66374;Mafg_62943;Dock6_76276;Dock9_61360;Racgap1_79446;Kif11_29129;Klc1_63179;Cenpe_30836;Abl1_29114,Abl1_71120;Irf2_75222;Rac1_30873;Dock1_73668	14465(0.06354);16593(-0.7428);16363(-0.05175);19353(0.02082);330662(0.1254)	14.8823123125	11.98945	0.936557	13.930134806448988	13.850914376983429	12.048729450793122	8.9949080625	8.04397	0.503686	8.15813361708279	8.394867582625485	7.0657767095658315	21.635293125	22.565649999999998	2.05448	15.97861735606754	20.792169832817923	14.310005242272348	5.5	5.744605	11.5	22.6438	23.5994;2.96266;39.1039;41.1598;12.6444;4.36567;15.7844;1.46305;0.936557;1.53055;11.3345;1.94772;16.18685;36.2858;7.12354;21.6882	15.9;2.07347;24.387;24.717;8.50171;3.23778;10.1289;0.789358;0.503686;1.11499;7.58623;1.39594;9.174055000000001;17.8827;3.64681;12.8789	41.0655;5.27306;39.9207;42.3064;24.033;6.42676;34.9385;3.34258;2.05448;2.34231;21.3563;3.09865;21.24565;43.2903;31.6955;23.775	5	12	5	242517;15968;17134;319899;105445	Ifna15_82152;Ifna5_56192;Mafg_62943;Dock6_76276;Dock9_61360	20.375364	15.7844	18.826933591260417	12.6520076	10.1289	11.390679271209809	25.386987999999995	34.9385	18.935237246290846	39.1039;41.1598;4.36567;15.7844;1.46305	24.387;24.717;3.23778;10.1289;0.789358	39.9207;42.3064;6.42676;34.9385;3.34258	11	12345;14465;63955;26934;16551;16593;229841;11350;16363;19353;330662	Capzb_57217;Gata6_30011;Cables1_66374;Racgap1_79446;Kif11_29129;Klc1_63179;Cenpe_30836;Abl1_29114,Abl1_71120;Irf2_75222;Rac1_30873;Dock1_73668	12.385470636363635	11.3345	11.284820051593046	7.332590090909091	7.58623	6.181170343171598	19.929977272727275	21.3563	15.143332377615625	23.5994;2.96266;12.6444;0.936557;1.53055;11.3345;1.94772;16.18685;36.2858;7.12354;21.6882	15.9;2.07347;8.50171;0.503686;1.11499;7.58623;1.39594;9.174055000000001;17.8827;3.64681;12.8789	41.0655;5.27306;24.033;2.05448;2.34231;21.3563;3.09865;21.24565;43.2903;31.6955;23.775	0						Exp 2,1(0.06);Exp 4,2(0.12);Exp 5,1(0.06);Hill,2(0.12);Linear,4(0.24);Poly 2,3(0.18);Power,4(0.24)	3.0339365061558925	61.044784903526306	1.6066793203353882	10.672200202941895	2.422686389596385	2.335757255554199	8.056546257339996	21.708078367660004	4.997422590129435	12.992393534870569	13.805770620526896	29.46481562947309	DOWN	0.3125	0.6875	0.0	
1537	Folding of actin by CCT/TriC	9	9	4	4	1	4	4	4	4	0	0	894	9	8084	0.38928	1.0	1.0	0.0																														0	0	0															0															0																							
1538	Fibrin clot formation (clotting cascade)	10	32	3	3	2	3	3	3	3	2	2	892	30	8063	0.36993	0.84186	0.76573	6.25	58992;12261	f12;c1qbp	F12_73102;C1qbp_63448		25.170385	25.170385	9.29687	22.448540195532757	24.451403444891795	22.42550084072323	15.432355	15.432355	6.54591	12.567331040282578	15.02984868394565	12.554432954423808	28.8508	28.8508	15.5455	18.816535711442747	28.248144237544043	18.797223950465575	0.5	25.170385			41.0439;9.29687	24.3188;6.54591	42.1561;15.5455	2	0	2	58992;12261	F12_73102;C1qbp_63448	25.170385	25.170385	22.448540195532757	15.432355	15.432355	12.567331040282578	28.8508	28.8508	18.816535711442747	41.0439;9.29687	24.3188;6.54591	42.1561;15.5455	0															0						Linear,1(0.5);Power,1(0.5)	3.1557556150109956	6.488250255584717	2.492091655731201	3.9961585998535156	1.0635359355474165	3.2441251277923584	-5.9417044000000026	56.2824744	-1.9850771999999974	32.849787199999994	2.7724120000000028	54.929187999999996	UP	1.0	0.0	0.0	
1539	UDP-glucuronate active cofactor formation	3	3	1	1	0	1	1	1	1	0	0	894	3	8090	0.73024	1.0	1.0	0.0																														0	0	0															0															0																							
154	Progesterone-initiated oocyte maturation	20	23	9	9	3	8	9	8	9	3	3	891	20	8073	0.80998	0.40473	0.49427	13.04	12532;12534;20779	cdc25c;cdk1;src	Cdc25c_30344;Cdk1_76534;Src_61324	12534(0.4062)	6.367556666666666	3.1665	1.06467	7.43923460442224	4.5160809700283515	6.689948863350124	4.0505889999999996	1.53678	0.541587	5.2395888706179035	2.814943542527339	4.657626915833495	13.192683333333335	8.09045	2.5865	13.879449990213345	9.524079819765088	12.665462160972659	0.5	2.1155850000000003	1.5	9.019	1.06467;3.1665;14.8715	0.541587;1.53678;10.0734	2.5865;8.09045;28.9011	1	2	1	20779	Src_61324	14.8715	14.8715		10.0734	10.0734		28.9011	28.9011		14.8715	10.0734	28.9011	2	12532;12534	Cdc25c_30344;Cdk1_76534	2.1155850000000003	2.1155850000000003	1.486218245901321	1.0391835	1.0391835	0.7037077188893837	5.338475000000001	5.338475000000001	3.8918803683116967	1.06467;3.1665	0.541587;1.53678	2.5865;8.09045	0						Exp 2,1(0.34);Exp 4,2(0.67)	4.321513659278177	15.981082677841187	1.8442871570587158	9.558792114257812	3.911415929010995	4.578003406524658	-2.050729772132134	14.785843105465467	-1.8785639679926591	9.97974196799266	-2.513392875251771	28.898759541918437	DOWN	0.3333333333333333	0.6666666666666666	0.0	
1540	AMPA receptor activation	2	4	1	1	1	1	1	1	1	1	1	893	3	8090	0.94825	0.34242	0.34242	25.0	53623	gria3	Gria3_31247		41.6726	41.6726	41.6726		41.6726		26.0234	26.0234	26.0234		26.0234		43.0135	43.0135	43.0135		43.0135		0.0	41.6726	0.0	41.6726	41.6726	26.0234	43.0135	0	1	0															1	53623	Gria3_31247	41.6726	41.6726		26.0234	26.0234		43.0135	43.0135		41.6726	26.0234	43.0135	0						Power,1(1)	3.2221164703369136	3.222116470336914	3.222116470336914	3.222116470336914	0.0	3.222116470336914	41.6726	41.6726	26.0234	26.0234	43.0135	43.0135	DOWN	0.0	1.0	0.0	
1541	G0 and early G1 pathway	22	25	16	14	5	15	12	12	15	3	3	891	22	8071	0.76667	0.4595	0.73308	12.0	211586;19650;12534	tfdp2;rbl1;cdk1	Tfdp2_69536;Rbl1_75918;Cdk1_76534	211586(-0.4271);12534(0.4062)	7.731156666666666	9.98047	3.1665	3.9532464954304776	9.300295973036855	2.5560821631729596	4.788783333333334	6.19341	1.53678	2.825004628426886	5.9281686842335635	1.8475259249236602	16.138883333333336	18.7455	8.09045	7.112843953077651	18.786357861332394	4.747432072691985	0.5	6.573485	1.5	10.013485	9.98047;10.0465;3.1665	6.63616;6.19341;1.53678	18.7455;21.5807;8.09045	0	3	0															3	211586;19650;12534	Tfdp2_69536;Rbl1_75918;Cdk1_76534	7.731156666666666	9.98047	3.9532464954304776	4.788783333333334	6.19341	2.825004628426886	16.138883333333336	18.7455	7.112843953077651	9.98047;10.0465;3.1665	6.63616;6.19341;1.53678	18.7455;21.5807;8.09045	0						Exp 2,2(0.67);Exp 4,1(0.34)	5.022511799559229	17.80189871788025	2.1895058155059814	9.558792114257812	3.686099490952046	6.053600788116455	3.2576371271795965	12.204676206153735	1.5919896552722985	7.985577011394369	8.08994268614749	24.187823980519177	DOWN	0.0	1.0	0.0	
1542	G1/S-specific transcription	16	17	12	12	4	12	12	11	12	2	2	892	15	8078	0.76434	0.51547	0.68361	11.76	12544;12534	cdc45;cdk1	Cdc45_70972;Cdk1_76534	12544(-0.5472);12534(0.4062)	2.730235	2.730235	2.29397	0.6169718797886988	2.4906502453871027	0.5156089517882296	1.261462	1.261462	0.986144	0.38935844956543547	1.110264916872741	0.3253903599611054	7.54889	7.54889	7.00733	0.7658814968387699	7.251480123644663	0.6400540587267763	0.0	2.29397	0.5	2.730235	2.29397;3.1665	0.986144;1.53678	7.00733;8.09045	0	2	0															2	12544;12534	Cdc45_70972;Cdk1_76534	2.730235	2.730235	0.6169718797886988	1.261462	1.261462	0.38935844956543547	7.54889	7.54889	0.7658814968387699	2.29397;3.1665	0.986144;1.53678	7.00733;8.09045	0						Exp 4,2(1)	8.39970531673332	16.93996000289917	7.381167888641357	9.558792114257812	1.5398128568094998	8.469980001449585	1.8751555999999998	3.5853144	0.72183872	1.8010852800000001	6.487432399999999	8.6103476	DOWN	0.0	1.0	0.0	
1543	G2 phase pathway	4	5	3	2	1	3	2	2	3	0	0	894	5	8088	0.59213	1.0	1.0	0.0																														0	0	0															0															0																							
1545	GABA (A) receptor activation	2	12	2	2	1	2	2	2	2	1	1	893	11	8082	0.66139	0.71583	1.0	8.33	236915	arhgef9	Arhgef9_64794	236915(0.2928)	7.06782	7.06782	7.06782		7.067819999999999		5.11092	5.11092	5.11092		5.11092		11.0522	11.0522	11.0522		11.0522		0.0	7.06782			7.06782	5.11092	11.0522	0	1	0															1	236915	Arhgef9_64794	7.06782	7.06782		5.11092	5.11092		11.0522	11.0522		7.06782	5.11092	11.0522	0						Linear,1(1)	5.484310626983643	5.484310626983643	5.484310626983643	5.484310626983643	0.0	5.484310626983643	7.06782	7.06782	5.11092	5.11092	11.0522	11.0522	DOWN	0.0	1.0	0.0	
1546	BAD activation and translocation to mitochondria	7	7	4	3	1	4	3	3	4	1	1	893	6	8087	0.85166	0.51988	0.51988	14.29	54401	ywhab	Ywhab_60393		3.1964	3.1964	3.1964		3.1963999999999997		2.00434	2.00434	2.00434		2.00434		6.18304	6.18304	6.18304		6.18304		0.0	3.1964	0.0	3.1964	3.1964	2.00434	6.18304	0	1	0															1	54401	Ywhab_60393	3.1964	3.1964		2.00434	2.00434		6.18304	6.18304		3.1964	2.00434	6.18304	0						Exp 4,1(1)	2.000356912612915	2.000356912612915	2.000356912612915	2.000356912612915	0.0	2.000356912612915	3.1964	3.1964	2.00434	2.00434	6.18304	6.18304	DOWN	0.0	1.0	0.0	
1547	GABA A and B receptor activation	23	54	13	12	7	13	12	12	13	7	7	887	47	8046	0.83611	0.28819	0.48925	12.96	14679;14678;14702;14710;14695;11514;236915	gnai3;gnai2;gng2;gngt2;gnb3;adcy8;arhgef9	Gnai3_60072;Gnai2_74909;Gng2_80221;Gngt2_60070;Gnb3_65466;Adcy8_58220;Arhgef9_64794	14678(-0.06111);236915(0.2928)	21.386931428571433	23.0917	3.9474	15.352304176623802	20.612345293531654	15.290874896969934	13.905222857142856	13.4823	2.93647	9.360648720116778	13.634926674796466	9.237827899918031	27.023884285714285	32.4506	5.76989	15.302347409185142	25.797228846484145	14.504160064678972	1.5	8.65316	4.5	31.65355	23.0917;3.9474;23.2937;42.056;10.2385;40.0134;7.06782	13.4823;2.93647;18.5002;27.374;7.12017;22.8125;5.11092	37.6837;5.76989;32.4506;43.6015;17.6891;40.9202;11.0522	4	3	4	14702;14710;14695;11514	Gng2_80221;Gngt2_60070;Gnb3_65466;Adcy8_58220	28.9004	31.65355	15.014106443164259	18.9517175	20.65635	8.680051234865589	33.665350000000004	36.6854	11.662991425444822	23.2937;42.056;10.2385;40.0134	18.5002;27.374;7.12017;22.8125	32.4506;43.6015;17.6891;40.9202	3	14679;14678;236915	Gnai3_60072;Gnai2_74909;Arhgef9_64794	11.368973333333335	7.06782	10.2713677580025	7.176563333333334	5.11092	5.568105098023324	18.16859666666667	11.0522	17.10570499327734	23.0917;3.9474;7.06782	13.4823;2.93647;5.11092	37.6837;5.76989;11.0522	0						Exp 2,1(0.15);Hill,1(0.15);Linear,3(0.43);Power,2(0.29)	4.265392901787595	37.275418162345886	1.723253846168518	14.092751502990723	4.15890656367922	4.375456809997559	10.013785335685276	32.76007752145758	6.970757242516926	20.83968847176879	15.687746684053407	38.36002188737517	CONFLICT	0.5714285714285714	0.42857142857142855	0.0	
1548	Activation of BIM and translocation to mitochondria	3	3	2	2	1	1	1	0	2	0	0	894	3	8090	0.73024	1.0	1.0	0.0																														0	0	0															0															0																							
1549	Generic transcription pathway	184	253	69	68	27	63	67	60	64	23	23	871	230	7863	0.37016	0.70879	0.74903	9.09	245368;22751;100503584;100041379;72739;81004;232854;20602;22284;57745;69930;56314;20683;19883;16477;51813;353187;243963;18519;211586;19650;17283;11545	zfp300;zfp90;zfp534;zfp980;zkscan3;tbl1xr1;zfp418;ncor2;usp9x;zfp112;zfp715;zfp113;sp1;rora;junb;ccnc;nr1d2;zfp473;kat2b;tfdp2;rbl1;men1;parp1	Zfp300_54771;Zfp90_71675;Zfp534_64203;Zfp980_29652;Zkscan3_71733;Tbl1xr1_67830;Zfp418_55356;Ncor2_31924;Usp9x_65427;Zfp112_62850;Zfp715_79386;Zfp113_70023;Sp1_69023;Rora_75714;Junb_57286;Ccnc_75884;Nr1d2_76151;Zfp473_57355;Kat2b_64780;Tfdp2_69536;Rbl1_75918;Men1_74110;Parp1_80176	81004(0.1513);20602(-0.05561);22284(0.2113);69930(0.224);20683(0.133);18519(-0.4043);211586(-0.4271);17283(-0.6104);11545(-0.2617)	15.95593652173913	13.0163	3.57237	11.293953819188793	14.87428489147939	9.439558607569335	9.952034782608695	8.52148	1.47567	6.567866956667182	9.492065744862396	5.654201667511028	24.219101304347827	22.2387	9.17363	10.14381051275483	24.105971388775398	9.09203154312962	11.5	13.21135			10.1373;13.9372;41.2369;42.4734;9.68165;8.14079;15.3729;20.9622;9.72826;23.7928;13.0163;14.2554;10.4289;13.9895;8.1827;12.6804;3.57237;42.4747;13.4064;9.98047;10.0465;15.741;3.7485	6.51158;9.92658;25.6061;11.9338;6.78287;5.81481;9.9264;12.7317;6.81136;18.7054;8.70453;9.67896;7.23397;9.22217;5.84181;8.52148;1.47567;29.2746;8.279;6.63616;6.19341;11.1219;1.96254	20.2862;22.2387;42.4081;44.3277;16.4016;13.1232;33.2892;22.5313;16.5071;35.5889;25.147;27.2313;18.1433;28.266;13.2073;24.1392;11.1405;44.3302;20.9117;18.7455;21.5807;28.321;9.17363	12	11	12	100503584;100041379;72739;57745;69930;56314;20683;19883;16477;353187;243963;17283	Zfp534_64203;Zfp980_29652;Zkscan3_71733;Zfp112_62850;Zfp715_79386;Zfp113_70023;Sp1_69023;Rora_75714;Junb_57286;Nr1d2_76151;Zfp473_57355;Men1_74110	19.903801666666666	14.12245	14.203308341904544	12.131814999999998	9.450565000000001	8.266301214094272	27.876074999999997	27.748649999999998	11.839525927097306	41.2369;42.4734;9.68165;23.7928;13.0163;14.2554;10.4289;13.9895;8.1827;3.57237;42.4747;15.741	25.6061;11.9338;6.78287;18.7054;8.70453;9.67896;7.23397;9.22217;5.84181;1.47567;29.2746;11.1219	42.4081;44.3277;16.4016;35.5889;25.147;27.2313;18.1433;28.266;13.2073;11.1405;44.3302;28.321	11	245368;22751;81004;232854;20602;22284;51813;18519;211586;19650;11545	Zfp300_54771;Zfp90_71675;Tbl1xr1_67830;Zfp418_55356;Ncor2_31924;Usp9x_65427;Ccnc_75884;Kat2b_64780;Tfdp2_69536;Rbl1_75918;Parp1_80176	11.649174545454548	10.1373	4.427675918328623	7.574092727272728	6.81136	2.7954282746945602	20.229675454545454	20.9117	6.2149925003838415	10.1373;13.9372;8.14079;15.3729;20.9622;9.72826;12.6804;13.4064;9.98047;10.0465;3.7485	6.51158;9.92658;5.81481;9.9264;12.7317;6.81136;8.52148;8.279;6.63616;6.19341;1.96254	20.2862;22.2387;13.1232;33.2892;22.5313;16.5071;24.1392;20.9117;18.7455;21.5807;9.17363	0						Exp 2,6(0.27);Exp 3,1(0.05);Exp 4,2(0.09);Hill,2(0.09);Linear,9(0.4);Power,3(0.14)	3.0570412170080172	84.57176947593689	1.6653445959091187	9.250728607177734	2.5348157286104875	2.4837729930877686	11.340230282267335	20.571642761210924	7.267824719663106	12.636244845554284	20.073445121816608	28.36475748687904	CONFLICT	0.5217391304347826	0.4782608695652174	0.0	
1550	Glutamate binding and activation of AMPA receptors and synaptic plasticity	19	29	6	6	2	4	6	4	4	2	2	892	27	8066	0.43836	0.79912	1.0	6.9	53623;18750	gria3;prkca	Gria3_31247;Prkca_56923		22.269750000000002	22.269750000000002	2.8669	27.439773618690808	21.809777262420123	27.43206201521071	13.785345	13.785345	1.54729	17.307223358067866	13.495224133168419	17.30235938048068	24.80928	24.80928	6.60506	25.744654816423548	24.377722527313956	25.737419604776576	0.5	22.269750000000002			41.6726;2.8669	26.0234;1.54729	43.0135;6.60506	0	2	0															2	53623;18750	Gria3_31247;Prkca_56923	22.269750000000002	22.269750000000002	27.439773618690808	13.785345	13.785345	17.307223358067866	24.80928	24.80928	25.744654816423548	41.6726;2.8669	26.0234;1.54729	43.0135;6.60506	0						Exp 4,1(0.5);Power,1(0.5)	2.583410960835585	5.293429613113403	2.0713131427764893	3.222116470336914	0.8137408367300201	2.6467148065567017	-15.759836	60.299336000000004	-10.201242799999992	37.77193279999999	-10.870991199999999	60.4895512	DOWN	0.0	1.0	0.0	
1551	Glutamate neurotransmitter release cycle	9	16	8	8	3	7	8	7	7	3	3	891	13	8080	0.93284	0.2084	0.2084	18.75	216456;19339;22249	gls2;rab3a;unc13b	Gls2_79204,Gls2_64576;Rab3a_29817;Unc13b_71048	216456(-0.3682);19339(-0.07967);22249(-0.5482)	11.410716666666668	9.49101	8.66449	4.061894167864705	11.416787603369068	4.0591003162462735	8.028551666666667	6.39247	6.14954	3.0465824464075006	8.031208031919984	3.046137003082812	18.907783333333334	17.3125	14.194	5.681945284480774	18.926094436734306	5.669757677136854	0.0	8.66449	0.5	9.07775	16.07665;8.66449;9.49101	11.543645;6.14954;6.39247	25.21685;14.194;17.3125	2	2	1	216456	Gls2_79204,Gls2_64576	16.07665	16.07665		11.543645	11.543645		25.21685	25.21685		16.07665	11.543645	25.21685	2	19339;22249	Rab3a_29817;Unc13b_71048	9.07775	9.07775	0.5844378967863132	6.271005000000001	6.271005000000001	0.17177745035359	15.753250000000001	15.753250000000001	2.205112497130236	8.66449;9.49101	6.14954;6.39247	14.194;17.3125	0						Exp 2,2(0.5);Linear,1(0.25);Power,1(0.25)	3.0325852579203243	13.432602405548096	2.1252951622009277	6.1753129959106445	1.9141133397592722	2.5659971237182617	6.814250711843205	16.00718262149013	4.581019083404815	11.476084249928519	12.478056959882561	25.337509706784108	DOWN	0.3333333333333333	0.6666666666666666	0.0	
1552	Glutathione conjugation	19	26	13	13	3	12	13	12	12	1	1	893	25	8068	0.25355	0.93467	0.50937	3.85	14859	gsta3	Gsta3_30777		12.2169	12.2169	12.2169		12.2169		8.26504	8.26504	8.26504		8.26504		22.8009	22.8009	22.8009		22.8009						12.2169	8.26504	22.8009	1	0	1	14859	Gsta3_30777	12.2169	12.2169		8.26504	8.26504		22.8009	22.8009		12.2169	8.26504	22.8009	0															0						Linear,1(1)	9.737427711486816	9.737427711486816	9.737427711486816	9.737427711486816	0.0	9.737427711486816	12.2169	12.2169	8.26504	8.26504	22.8009	22.8009	UP	1.0	0.0	0.0	
1553	Activation of C3 and C5	4	6	2	2	2	2	2	2	2	2	2	892	4	8089	0.98441	0.11318	0.11318	33.33	12263;14962	c2;cfb	C2_73108;Cfb_73409		39.438599999999994	39.438599999999994	39.3118	0.17932227971056597	39.438599999999994	0.17932227971056597	22.9775	22.9775	22.9507	0.03790092347378662	22.9775	0.03790092347378662	40.5374	40.5374	40.3747	0.23009254659719125	40.5374	0.23009254659719125	0.0	39.3118	0.0	39.3118	39.5654;39.3118	22.9507;23.0043	40.7001;40.3747	2	0	2	12263;14962	C2_73108;Cfb_73409	39.438599999999994	39.438599999999994	0.17932227971056597	22.9775	22.9775	0.03790092347378662	40.5374	40.5374	0.23009254659719125	39.5654;39.3118	22.9507;23.0043	40.7001;40.3747	0															0						Power,2(1)	5.798532265490242	11.63388729095459	5.354496955871582	6.279390335083008	0.6539983803149402	5.816943645477295	39.190071999999994	39.687127999999994	22.924972	23.030027999999998	40.21850799999999	40.856292	UP	1.0	0.0	0.0	
1554	Activation of calcium-permeable kainate receptor	6	9	2	2	1	2	2	2	2	1	1	893	8	8085	0.77668	0.61072	0.61072	11.11	53310	dlg3	Dlg3_31930	53310(0.06609)	42.5322	42.5322	42.5322		42.5322		15.9224	15.9224	15.9224		15.9224		44.4397	44.4397	44.4397		44.4397		0.0	42.5322	0.0	42.5322	42.5322	15.9224	44.4397	0	1	0															1	53310	Dlg3_31930	42.5322	42.5322		15.9224	15.9224		44.4397	44.4397		42.5322	15.9224	44.4397	0						Power,1(1)	1.6484322547912598	1.6484322547912598	1.6484322547912598	1.6484322547912598	0.0	1.6484322547912598	42.5322	42.5322	15.9224	15.9224	44.4397	44.4397	DOWN	0.0	1.0	0.0	
1556	HIV life cycle	102	115	34	33	12	25	30	22	30	8	8	886	107	7986	0.17956	0.89691	0.34687	6.96	66464;72504;20924;101739;234724;19069;14884;16881	taf12;taf4b;supt5;psip1;tat;nup88;gtf2h1;lig1	Taf12_61432;Taf4b_60111;Supt5_67274;Psip1_30136,Psip1_68280;Tat_60031;Nup88_63395;Gtf2h1_74444;Lig1_29706	101739(0.3556);16881(0.3152)	11.40454725	12.701049999999999	0.265188	7.211932699689783	12.700094165638237	5.885984359985633	6.935953874999999	8.54654	0.119631	4.195333398284694	7.849315842200061	3.541806267824572	20.81901225	24.13355	0.792343	12.997765075531657	22.387922674193657	9.901069951244281	4.5	13.301			13.5683;22.999;13.0337;5.79031;17.3373;12.3684;5.87418;0.265188	9.00044;12.2634;8.89869;3.6955999999999998;10.4;8.19439;2.91548;0.119631	26.878;42.2959;24.1615;11.209724999999999;27.4705;24.1056;9.63853;0.792343	4	5	4	72504;20924;234724;14884	Taf4b_60111;Supt5_67274;Tat_60031;Gtf2h1_74444	14.811045	15.1855	7.221520677445064	8.6193925	9.649345	4.0440070322340365	25.8916075	25.816000000000003	13.400864575773657	22.999;13.0337;17.3373;5.87418	12.2634;8.89869;10.4;2.91548	42.2959;24.1615;27.4705;9.63853	4	66464;101739;19069;16881	Taf12_61432;Psip1_30136,Psip1_68280;Nup88_63395;Lig1_29706	7.9980495000000005	9.079355	6.185976473811363	5.25251525	5.9449950000000005	4.14214327757707	15.746417	17.6576625	12.082962992215085	13.5683;5.79031;12.3684;0.265188	9.00044;3.6955999999999998;8.19439;0.119631	26.878;11.209724999999999;24.1056;0.792343	0						Exp 2,3(0.34);Exp 4,2(0.23);Hill,1(0.12);Linear,1(0.12);Power,2(0.23)	2.6560008449850137	27.943698167800903	1.6533873081207275	8.686941146850586	2.249067197855382	2.0281126499176025	6.406932862936582	16.40216163706342	4.028736153639802	9.843171596360198	11.812020581325452	29.826003918674555	CONFLICT	0.5	0.5	0.0	
1557	HIV-1 transcription initiation	37	38	9	8	3	8	7	7	9	3	3	891	35	8058	0.46883	0.7436	1.0	7.89	66464;72504;14884	taf12;taf4b;gtf2h1	Taf12_61432;Taf4b_60111;Gtf2h1_74444		14.14716	13.5683	5.87418	8.577072588173657	12.696653371741597	6.153275211156374	8.059773333333334	9.00044	2.91548	4.7444222424794065	7.809847291273139	3.769232174970118	26.27081	26.878	9.63853	16.337149800418064	24.24247874952777	12.164225098987277	0.5	9.72124			13.5683;22.999;5.87418	9.00044;12.2634;2.91548	26.878;42.2959;9.63853	2	1	2	72504;14884	Taf4b_60111;Gtf2h1_74444	14.436589999999999	14.436589999999999	12.109076348599014	7.589440000000001	7.589440000000001	6.60997762198935	25.967215000000003	25.967215000000003	23.092247782718125	22.999;5.87418	12.2634;2.91548	42.2959;9.63853	1	66464	Taf12_61432	13.5683	13.5683		9.00044	9.00044		26.878	26.878		13.5683	9.00044	26.878	0						Hill,1(0.34);Linear,1(0.34);Power,1(0.34)	2.1176201836081825	6.513397455215454	1.6533873081207275	2.831897497177124	0.602131689386209	2.0281126499176025	4.441288671423596	23.853031328576403	2.690954153997655	13.428592512669013	7.783584643277287	44.758035356722715	UP	0.6666666666666666	0.3333333333333333	0.0	
