25	BAD phosphorylation regulation	22	26	18	17	8	18	17	17	18	8	8	1071	18	7890	0.99767	0.0090178	0.0090178	30.77	22629;16001;12028;12015;18607;19088;19084;18749	ywhah;igf1r;bax;bad;pdpk1;prkar2b;prkar1a;prkacb	Ywhah_66373;Igf1r_30022;Bax_29957;Bad_31862;Pdpk1_64313;Prkar2b_30641,Prkar2b_56567;Prkar1a_62490;Prkacb_29599	12015(-0.01501);18607(-0.7904);19088(-0.8372);18749(-0.5345)	25.789198749999997	20.09165	7.63134	21.07852143520945	20.9224535582389	17.77049826113434	15.735633125000001	13.437100000000001	4.85367	10.75284323682908	12.998865759613599	9.504725409178608	37.33876875	34.48785	16.8536	18.94771160647371	32.86000244101802	16.83882601097044	0.5	13.185495	1.5	19.102725	20.3449;19.4658;7.63134;23.2691;20.0699;18.739649999999997;76.6795;20.1134	12.5677;14.3065;4.85367;15.5999;9.63788;11.781815;40.7478;16.3898	35.1764;24.5747;16.8536;44.6158;35.6625;28.504550000000002;79.5233;33.7993	3	4	3	12028;12015;18607	Bax_29957;Bad_31862;Pdpk1_64313	16.990113333333333	20.0699	8.261277073705578	10.030483333333335	9.63788	5.383861795796146	32.3773	35.6625	14.169662716169357	7.63134;23.2691;20.0699	4.85367;15.5999;9.63788	16.8536;44.6158;35.6625	4	22629;16001;19084;18749	Ywhah_66373;Igf1r_30022;Prkar1a_62490;Prkacb_29599	34.1509	20.229149999999997	28.354840987151857	21.00295	15.34815	13.255642064293477	43.268425	34.48785	24.6239484547564	20.3449;19.4658;76.6795;20.1134	12.5677;14.3065;40.7478;16.3898	35.1764;24.5747;79.5233;33.7993	1	19088	Prkar2b_30641,Prkar2b_56567	20.182,17.2973	9.32973,14.2339	36.2689,20.7402	Hill,6(0.67);Linear,1(0.12);Poly 2,1(0.12);Power,1(0.12)	6.026304779314849	80.58430325984955	1.7058616876602173	29.496990203857422	9.003821963686898	4.74958610534668	11.182528614661857	40.395868885338146	8.284292922598205	23.186973327401795	24.208674492393484	50.468863007606515	CONFLICT	0.375	0.5	0.125	
250	Spliceosomal assembly	8	9	8	8	3	8	8	8	8	3	3	1076	6	7902	0.98417	0.083266	0.083266	33.33	20639;20637;20382	snrpb2;snrnp70;srsf2	Snrpb2_69904;Snrnp70_67137;Srsf2_75662		18.079533333333334	17.1863	17.0878	1.6331717801055883	18.237032999424294	1.6967672064868222	12.449313333333334	12.0711	8.94374	3.7091702975912737	12.588124847438113	3.956808000794142	26.838833333333337	28.9221	19.0215	7.011783688430017	26.708283235463444	7.386499347465415	0.0	17.0878	0.0	17.0878	19.9645;17.0878;17.1863	16.3331;8.94374;12.0711	32.5729;19.0215;28.9221	1	2	1	20382	Srsf2_75662	17.1863	17.1863		12.0711	12.0711		28.9221	28.9221		17.1863	12.0711	28.9221	2	20639;20637	Snrpb2_69904;Snrnp70_67137	18.52615	18.52615	2.0341340774393286	12.63842	12.63842	5.2250665646286345	25.797199999999997	25.797199999999997	9.5822868345714	19.9645;17.0878	16.3331;8.94374	32.5729;19.0215	0						Hill,2(0.67);Linear,1(0.34)	7.3745564194512845	42.880399227142334	2.1519174575805664	35.474822998046875	18.409035825034508	5.253658771514893	16.231425486254658	19.92764118041201	8.251992012555739	16.646634654110926	18.90425314130491	34.77341352536175	DOWN	0.3333333333333333	0.6666666666666666	0.0	
251	Telomerase RNA component gene hTERC transcriptional regulation	6	6	3	3	1	3	3	3	3	1	1	1078	5	7903	0.84428	0.5359	0.5359	16.67	20683	sp1	Sp1_69023		18.827	18.827	18.827		18.827		15.167	15.167	15.167		15.167		23.4881	23.4881	23.4881		23.4881		0.0	18.827	0.0	18.827	18.827	15.167	23.4881	1	0	1	20683	Sp1_69023	18.827	18.827		15.167	15.167		23.4881	23.4881		18.827	15.167	23.4881	0															0						Hill,1(1)	4.328693389892578	4.328693389892578	4.328693389892578	4.328693389892578	0.0	4.328693389892578	18.827	18.827	15.167	15.167	23.4881	23.4881	UP	1.0	0.0	0.0	
252	Control of gene expression by vitamin D receptor	26	26	14	14	2	14	14	14	14	2	2	1077	24	7884	0.38071	0.8369	0.76221	7.69	27221;20185	chaf1a;ncor1	Chaf1a_58842;Ncor1_74346	20185(0.3357)	22.939895	22.939895	6.68299	22.990735533210984	28.9714137865373	21.349835657759645	13.492805	13.492805	2.93881	14.92560286621783	17.40847155003032	13.860329428191719	40.5013	40.5013	20.6795	28.03225839064701	47.85544023044268	26.031533827686168	0.5	22.939895			39.1968;6.68299	24.0468;2.93881	60.3231;20.6795	2	0	2	27221;20185	Chaf1a_58842;Ncor1_74346	22.939895	22.939895	22.990735533210984	13.492805	13.492805	14.92560286621783	40.5013	40.5013	28.03225839064701	39.1968;6.68299	24.0468;2.93881	60.3231;20.6795	0															0						Exp 4,1(0.5);Hill,1(0.5)	8.52731905159331	19.820858001708984	4.86053466796875	14.960323333740234	7.14162905411805	9.910429000854492	-8.92363880000001	54.803428800000006	-7.1930251999999975	34.1786352	1.650572000000011	79.35202799999999	UP	1.0	0.0	0.0	
253	Telomerase protein component gene hTERT transcriptional regulation	10	11	7	7	1	7	7	7	7	1	1	1078	10	7898	0.6124	0.75531	1.0	9.09	20683	sp1	Sp1_69023		18.827	18.827	18.827		18.827		15.167	15.167	15.167		15.167		23.4881	23.4881	23.4881		23.4881		0.0	18.827			18.827	15.167	23.4881	1	0	1	20683	Sp1_69023	18.827	18.827		15.167	15.167		23.4881	23.4881		18.827	15.167	23.4881	0															0						Hill,1(1)	4.328693389892578	4.328693389892578	4.328693389892578	4.328693389892578	0.0	4.328693389892578	18.827	18.827	15.167	15.167	23.4881	23.4881	UP	1.0	0.0	0.0	
254	SUMOylation by RanBP2 regulates transcriptional repression	15	16	9	9	2	9	9	9	9	2	2	1077	14	7894	0.69989	0.58899	1.0	12.5	208727;103573	hdac4;xpo1	Hdac4_75706;Xpo1_78569	208727(0.4399)	19.02505	19.02505	18.4641	0.7933030978131145	18.7544755781786	0.6949163759129665	9.902615	9.902615	7.32273	3.6485083563629073	11.147023400464755	3.196014501242994	33.21375	33.21375	32.733	0.6798831701106919	33.44563992475379	0.5955629694627673	0.0	18.4641	0.5	19.02505	19.586;18.4641	7.32273;12.4825	32.733;33.6945	1	1	1	208727	Hdac4_75706	19.586	19.586		7.32273	7.32273		32.733	32.733		19.586	7.32273	32.733	1	103573	Xpo1_78569	18.4641	18.4641		12.4825	12.4825		33.6945	33.6945		18.4641	12.4825	33.6945	0						Exp 2,1(0.5);Hill,1(0.5)	4.221319859568545	10.09335470199585	2.2809205055236816	7.812434196472168	3.9113708410959034	5.046677350997925	17.925588	20.124512	4.8460404000000015	14.9591896	32.27148	34.15602	CONFLICT	0.5	0.5	0.0	
255	FXR and LXR regulation of cholesterol metabolism	5	7	3	3	0	3	3	3	3	0	0	1079	7	7901	0.40834	1.0	1.0	0.0																														0	0	0															0															0																							
256	SREBP control of lipid biosynthesis	8	8	7	7	0	6	6	6	7	0	0	1079	8	7900	0.35928	1.0	0.60748	0.0																														0	0	0															0															0																							
257	Inhibition of Huntington's disease neurodegeneration by histone deacetylase inhibitors (HDACs)	4	4	2	2	0	2	2	2	2	0	0	1079	4	7904	0.59947	1.0	1.0	0.0																														0	0	0															0															0																							
258	RNA polymerase	24	26	14	14	5	14	14	13	14	4	4	1075	22	7886	0.80506	0.3815	0.5446	15.38	66136;69870;20018;69920	znrd1;polr3gl;polr1d;polr2i	Znrd1_29627;Polr3gl_68678,Polr3gl_79687;Polr1d_70267;Polr2i_31963	20018(-0.3181)	28.148815	24.6346	7.15956	20.417997895049197	21.912746705349562	20.226635281562036	17.2026275	16.51915	3.59491	11.695485628125573	13.170744150863289	12.066087886056057	46.5774475	47.82745	13.12119	26.420501177274407	36.84286910982168	28.224664037324946	0.5	15.66123	1.5	24.6346	24.1629;7.15956;56.1665;25.1063	16.4556;3.59491;32.1773;16.5827	45.2397;13.12119;77.5337;50.4152	5	0	4	66136;69870;20018;69920	Znrd1_29627;Polr3gl_68678,Polr3gl_79687;Polr1d_70267;Polr2i_31963	28.148815	24.6346	20.417997895049197	17.2026275	16.51915	11.695485628125573	46.5774475	47.82745	26.420501177274407	24.1629;7.15956;56.1665;25.1063	16.4556;3.59491;32.1773;16.5827	45.2397;13.12119;77.5337;50.4152	0															0						Exp 2,1(0.2);Exp 4,1(0.2);Exp 5,1(0.2);Linear,1(0.2);Power,1(0.2)	4.538186622452967	30.2225159406662	1.78776216506958	13.410332679748535	4.762876992895611	6.222447395324707	8.139177062851793	48.158452937148205	5.741051584436946	28.66420341556306	20.68535634627109	72.46953865372892	UP	1.0	0.0	0.0	
259	Basal transcription factors	32	34	19	19	7	18	17	16	19	6	6	1073	28	7880	0.8946	0.21762	0.29013	17.65	319944;72504;270627;83602;209357;23894	taf2;taf4b;taf1;gtf2a1;gtf2h3;gtf2h2	Taf2_59526;Taf4b_60111;Taf1_59792;Gtf2a1_81874;Gtf2h3_75017;Gtf2h2_76994	83602(-0.7826);23894(0.4327)	20.287125	18.61565	7.62703	12.32107103959352	20.742204257126037	11.664439551468613	11.352175	10.187964999999998	3.77446	7.263356403761968	11.323413000924912	6.645085599064723	38.09295	37.307900000000004	20.6533	18.270875784345968	40.714609106196924	17.48649334881368	0.5	7.886475000000001	2.5	18.61565	18.7979;39.3419;29.3766;7.62703;8.14592;18.4334	10.9088;20.0165;19.9345;3.77446;4.01166;9.46713	21.3448;53.6484;58.2954;20.6533;22.5916;52.0242	3	3	3	72504;270627;83602	Taf4b_60111;Taf1_59792;Gtf2a1_81874	25.44851	29.3766	16.218220095475953	14.575153333333333	19.9345	9.353764662451871	44.19903333333334	53.6484	20.523153288501568	39.3419;29.3766;7.62703	20.0165;19.9345;3.77446	53.6484;58.2954;20.6533	3	319944;209357;23894	Taf2_59526;Gtf2h3_75017;Gtf2h2_76994	15.125739999999999	18.4334	6.047448262432678	8.129196666666667	9.46713	3.6380192754070637	31.986866666666668	22.5916	17.364033888855825	18.7979;8.14592;18.4334	10.9088;4.01166;9.46713	21.3448;22.5916;52.0242	0						Exp 2,2(0.34);Exp 4,2(0.34);Hill,2(0.34)	3.815589480258859	24.127284288406372	2.3081555366516113	6.011106014251709	1.42771354318965	3.499611258506775	10.428214870348189	30.146035129651818	5.540279443663471	17.16407055633653	23.473204543695807	52.712695456304196	CONFLICT	0.5	0.5	0.0	
26	D4-GDI signaling pathway	8	10	7	7	1	7	7	7	7	1	1	1078	9	7899	0.65802	0.72189	1.0	10.0	12371	casp9	Casp9_71311	12371(-0.1706)	11.4794	11.4794	11.4794		11.4794		6.62258	6.62258	6.62258		6.62258		25.6392	25.6392	25.6392		25.6392		0.0	11.4794	0.0	11.4794	11.4794	6.62258	25.6392	0	1	0															1	12371	Casp9_71311	11.4794	11.4794		6.62258	6.62258		25.6392	25.6392		11.4794	6.62258	25.6392	0						Exp 2,1(1)	8.952495574951174	8.952495574951172	8.952495574951172	8.952495574951172	0.0	8.952495574951172	11.4794	11.4794	6.62258	6.62258	25.6392	25.6392	DOWN	0.0	1.0	0.0	
260	Spliceosome	101	106	68	68	19	67	68	67	67	19	19	1060	87	7821	0.97404	0.046902	0.069769	17.92	193116;66101;75062;70767;20462;20639;20637;15387;81898;320632;74351;78651;71713;64340;20382;110809;60365;193740;56215	slu7;ppih;sf3a3;prpf3;tra2b;snrpb2;snrnp70;hnrnpk;sf3b1;snrnp200;ddx23;lsm6;cdc40;dhx38;srsf2;srsf1;rbm8a;hspa1a;acin1	Slu7_77197;Gm7879_65708;Sf3a3_31773;Prpf3_73502;Tra2b_75954;Snrpb2_69904;Snrnp70_67137;Hnrnpk_69056;Sf3b1_67715;Snrnp200_56843;Ddx23_73372;Lsm6_30573;Cdc40_59238;Dhx38_58138;Srsf2_75662;Srsf1_31766;Rbm8a_66907;Hspa1a_69206;Acin1_69950,Acin1_70892	193116(0.2348);66101(0.2959);70767(-0.3739);20462(-0.08171);74351(0.2376);78651(0.05131);60365(-0.4204)	19.906844736842107	17.0878	1.31606	17.21712862462501	17.674186175214853	12.20377898677343	12.497185631578946	10.5847	0.505067	10.919449242654279	11.195605499861378	7.691889974280489	33.881244736842106	24.3104	5.85845	28.081687728961647	29.3316984054814	20.602799716424382	4.5	11.078045	9.5	17.137050000000002	6.4656;1.77381;9.59129;14.9521;1.31606;19.9645;17.0878;37.0631;20.4936;19.2488;76.2766;42.7592;12.5648;16.6252;17.1863;4.77234;21.0422;14.8264;24.22035	3.80261;0.635678;6.58317;10.6655;0.505067;16.3331;8.94374;21.5141;16.7863;8.03423;48.5148;22.9955;9.09895;9.36828;12.0711;0.772102;12.2083;10.5847;18.0293	13.7193;8.6675;13.4543;24.1855;5.85845;32.5729;19.0215;119.024;34.209;24.3104;78.8874;75.8418;19.5795;29.2831;28.9221;22.4368;38.3485;23.9319;31.4897	10	10	9	193116;320632;74351;78651;64340;20382;60365;193740;56215	Slu7_77197;Snrnp200_56843;Ddx23_73372;Lsm6_30573;Dhx38_58138;Srsf2_75662;Rbm8a_66907;Hspa1a_69206;Acin1_69950,Acin1_70892	26.516738888888888	19.2488	21.069943224706638	16.17875777777778	12.0711	13.347883500509338	38.3038	29.2831	23.12660185441215	6.4656;19.2488;76.2766;42.7592;16.6252;17.1863;21.0422;14.8264;24.22035	3.80261;8.03423;48.5148;22.9955;9.36828;12.0711;12.2083;10.5847;18.0293	13.7193;24.3104;78.8874;75.8418;29.2831;28.9221;38.3485;23.9319;31.4897	10	66101;75062;70767;20462;20639;20637;15387;81898;71713;110809	Gm7879_65708;Sf3a3_31773;Prpf3_73502;Tra2b_75954;Snrpb2_69904;Snrnp70_67137;Hnrnpk_69056;Sf3b1_67715;Cdc40_59238;Srsf1_31766	13.957940000000002	13.75845	10.734576964460839	9.1837707	9.021345	7.372002546344527	29.900945	21.00815	32.628012539691255	1.77381;9.59129;14.9521;1.31606;19.9645;17.0878;37.0631;20.4936;12.5648;4.77234	0.635678;6.58317;10.6655;0.505067;16.3331;8.94374;21.5141;16.7863;9.09895;0.772102	8.6675;13.4543;24.1855;5.85845;32.5729;19.0215;119.024;34.209;19.5795;22.4368	0						Exp 2,1(0.05);Exp 4,3(0.15);Exp 5,1(0.05);Hill,9(0.45);Linear,4(0.2);Power,2(0.1)	3.8475872015884187	119.6352424621582	1.6670893430709839	35.474822998046875	7.806382786651999	2.6399391889572144	12.165079547660188	27.64860992602402	7.587202447105823	17.407168816052074	21.25417797946129	46.50831149422294	CONFLICT	0.47368421052631576	0.5263157894736842	0.0	
261	RNA degradation	54	57	38	38	15	38	37	37	38	15	15	1064	42	7866	0.9992	0.0023466	0.0030122	26.32	319885;66317;216578;57316;13808;53621;232791;72068;319618;234699;78651;72544;66362;18789;15510	zcchc7;wdr61;papolg;c1d;eno3;cnot4;cnot3;cnot2;dcp1b;edc4;lsm6;exosc6;exosc3;papola;hspd1	Zcchc7_69072;Wdr61_29702;Papolg_79205;C1d_57440;Eno3_78615;Cnot4_77685;Cnot3_65844;Cnot2_68613;Dcp1b_29958;Edc4_67217;Lsm6_30573;Exosc6_79539;Exosc3_29716;Papola_64202;Hspd1_29930	319885(0.07304);66317(-0.7701);216578(0.3378);13808(-0.06058);53621(0.4195);232791(-0.6085);78651(0.05131);66362(0.04768);18789(-0.8776);15510(-0.2125)	26.45689133333333	18.9784	6.78387	21.640850917304153	21.477107127771216	16.17119232151144	15.058609999999998	12.3959	4.42622	9.57589940036817	13.015085440989983	7.253949670156974	37.55742	28.8017	13.8987	22.164718434072523	34.20207826971008	18.189151435446814	1.5	13.17385	4.5	16.9173	13.6093;6.78387;17.9518;17.7163;12.7384;19.332;18.9784;16.1183;19.1514;76.0003;42.7592;21.388;76.5048;14.6734;23.1479	9.52399;4.42622;11.0823;12.3959;7.32379;13.2918;12.805;11.0384;12.0115;44.6442;22.9955;17.2043;22.1052;9.49725;15.5338	22.7387;13.8987;18.7914;30.115;28.8017;23.4532;34.8521;28.3511;28.0116;78.4998;75.8418;36.4597;79.2426;20.0502;44.2537	5	10	5	66317;234699;78651;72544;15510	Wdr61_29702;Edc4_67217;Lsm6_30573;Exosc6_79539;Hspd1_29930	34.015854000000004	23.1479	26.731516411206073	20.960804000000003	17.2043	14.849237326175372	49.79074	44.2537	27.38376265240041	6.78387;76.0003;42.7592;21.388;23.1479	4.42622;44.6442;22.9955;17.2043;15.5338	13.8987;78.4998;75.8418;36.4597;44.2537	10	319885;216578;57316;13808;53621;232791;72068;319618;66362;18789	Zcchc7_69072;Papolg_79205;C1d_57440;Eno3_78615;Cnot4_77685;Cnot3_65844;Cnot2_68613;Dcp1b_29958;Exosc3_29716;Papola_64202	22.67741	17.834049999999998	19.060546059885073	12.107513	11.5469	3.9511079850398336	31.44076	28.181350000000002	17.499075185036368	13.6093;17.9518;17.7163;12.7384;19.332;18.9784;16.1183;19.1514;76.5048;14.6734	9.52399;11.0823;12.3959;7.32379;13.2918;12.805;11.0384;12.0115;22.1052;9.49725	22.7387;18.7914;30.115;28.8017;23.4532;34.8521;28.3511;28.0116;79.2426;20.0502	0						Exp 2,4(0.27);Exp 5,1(0.07);Hill,4(0.27);Linear,2(0.14);Poly 2,1(0.07);Power,3(0.2)	4.261413597978651	85.88160574436188	1.5412712097167969	17.266084671020508	4.780272424106245	3.697401762008667	15.505109720471072	37.408672946195594	10.21253627672909	19.90468372327091	26.340524845177523	48.77431515482249	DOWN	0.3333333333333333	0.6666666666666666	0.0	
262	Protein export	21	25	12	12	2	12	12	12	12	2	2	1077	23	7885	0.40815	0.82016	0.76095	8.0	66541;57743	immp1l;sec61a2	Immp1l_72460;Sec61a2_64195		20.0116	20.0116	18.8976	1.5754339084835889	19.579446691247817	1.4520602726708558	12.8538	12.8538	12.5419	0.4410932101041271	12.73280483213662	0.4065508070430667	30.419349999999998	30.419349999999998	22.3313	11.438230003151707	27.28175792742092	10.542492000337392	0.5	20.0116			21.1256;18.8976	13.1657;12.5419	38.5074;22.3313	0	2	0															2	66541;57743	Immp1l_72460;Sec61a2_64195	20.0116	20.0116	1.5754339084835889	12.8538	12.8538	0.4410932101041271	30.419349999999998	30.419349999999998	11.438230003151707	21.1256;18.8976	13.1657;12.5419	38.5074;22.3313	0						Hill,2(1)	3.061009365756654	7.54015851020813	1.5692341327667236	5.970924377441406	3.1124650206921416	3.770079255104065	17.828160000000004	22.19504	12.242476	13.465124	14.566772000000002	46.271927999999996	DOWN	0.0	1.0	0.0	
263	Ubiquitin-mediated proteolysis	116	129	78	77	13	77	76	76	78	13	13	1066	116	7792	0.30224	0.78935	0.58582	10.08	59004;67455;117146;242521;56228;15204;22209;22201;75717;52206;99152;26965;27401	pias4;klhl13;ube3b;klhl9;ube2j1;herc2;ube2a;uba1;cul5;anapc4;anapc2;cul1;skp2	Pias4_78475;Klhl13_29312,Klhl13_71279;Ube3b_75039;Klhl9_80629;Ube2j1_31410;Herc2_78071;Ube2a_29659;Uba1_75325;Cul5_71200;Anapc4_80806;Anapc2_31019;Cul1_29134,Cul1_31957;Skp2_29041	15204(-0.3478);52206(0.03291);99152(0.06029);26965(-0.9311);27401(-0.1105)	17.269206153846156	14.3732	3.19381	19.0641898677654	14.013113113642715	12.81338119964583	11.194108461538463	6.39445	1.89717	12.27413906192599	8.63783998870096	8.460242307661414	24.74086153846154	22.764699999999998	4.99101	18.93898275463197	21.972182036156926	13.188863144852828	5.5	13.775400000000001	11.5	49.5363	3.43337;15.043;15.3005;16.8404;13.1776;10.2276;3.19381;14.3732;21.207;8.531;77.8656;19.0426;6.264	1.89717;11.63925;5.40182;11.8574;5.40845;6.39445;2.30606;10.2917;17.8097;5.28457;48.7827;14.302700000000002;4.14744	7.90739;20.3764;23.7386;28.1587;24.2334;20.1666;4.99101;23.0286;35.2748;16.9448;81.7096;22.764699999999998;12.3366	2	13	2	59004;117146	Pias4_78475;Ube3b_75039	9.366935	9.366935	8.391328096222313	3.649495	3.649495	2.4781617806854332	15.822995	15.822995	11.194355945388285	3.43337;15.3005	1.89717;5.40182	7.90739;23.7386	11	67455;242521;56228;15204;22209;22201;75717;52206;99152;26965;27401	Klhl13_29312,Klhl13_71279;Klhl9_80629;Ube2j1_31410;Herc2_78071;Ube2a_29659;Uba1_75325;Cul5_71200;Anapc4_80806;Anapc2_31019;Cul1_29134,Cul1_31957;Skp2_29041	18.70598272727273	14.3732	20.35511302261134	12.565856363636364	10.2917	12.91189990196119	26.362291818181816	22.764699999999998	19.977314943363538	15.043;16.8404;13.1776;10.2276;3.19381;14.3732;21.207;8.531;77.8656;19.0426;6.264	11.63925;11.8574;5.40845;6.39445;2.30606;10.2917;17.8097;5.28457;48.7827;14.302700000000002;4.14744	20.3764;28.1587;24.2334;20.1666;4.99101;23.0286;35.2748;16.9448;81.7096;22.764699999999998;12.3366	0						Exp 2,2(0.14);Exp 4,1(0.07);Exp 5,2(0.14);Hill,5(0.34);Linear,2(0.14);Poly 2,2(0.14);Power,1(0.07)	5.495859747944198	161.5091278553009	1.9132907390594482	64.15095520019531	16.745858915778935	3.4590792655944824	6.90579449053215	27.632617817160153	4.521810462315287	17.866406460761638	14.445513237166965	35.03620983975612	DOWN	0.15384615384615385	0.8461538461538461	0.0	
264	SNARE interactions in vesicular transport	31	35	20	20	4	20	20	20	20	4	4	1075	31	7877	0.58703	0.61972	1.0	11.43	54399;20955;56389;56494	bet1l;vamp7;stx5a;gosr2	Gm45785_64401;Vamp7_56060;Stx5a_71245,Stx5a_72412;Gosr2_77441	54399(-0.4166)	23.9313	25.82795	17.6095	4.225641984361676	23.445803233740207	4.411096971636116	16.869425	17.3476	12.3278	3.8994772404986	16.07241273456003	3.7326620118190905	34.5761125	34.80595	29.89735	3.658074609311852	34.67482264529058	4.058027892241441	0.5	21.67525	2.5	26.187350000000002	25.9149;25.741;17.6095;26.4598	14.931;19.7642;12.3278;20.4547	38.7952;35.2227;29.89735;34.3892	4	1	3	54399;56389;56494	Gm45785_64401;Stx5a_71245,Stx5a_72412;Gosr2_77441	23.32806666666667	25.9149	4.959912554000663	15.904499999999999	14.931	4.149988263838834	34.36058333333333	34.3892	4.4489940257134	25.9149;17.6095;26.4598	14.931;12.3278;20.4547	38.7952;29.89735;34.3892	1	20955	Vamp7_56060	25.741	25.741		19.7642	19.7642		35.2227	35.2227		25.741	19.7642	35.2227	0						Exp 5,1(0.2);Hill,2(0.4);Linear,2(0.4)	3.712460953514645	20.209946155548096	2.5589606761932373	6.985021591186523	1.9475365441768708	2.8682308197021484	19.790170855325567	28.072429144674434	13.047937304311361	20.690912695688638	30.991199382874438	38.16102561712556	UP	0.75	0.25	0.0	
265	Protein processing in the endoplasmic reticulum	142	161	95	93	26	92	91	89	94	24	24	1055	137	7771	0.89443	0.15375	0.26945	14.91	226418;66890;15505;56812;15467;50527;80286;16430;18024;81489;15516;13135;226641;11911;20014;103963;57743;56228;12915;26965;26408;26420;193740;12028	yod1;lman2;hsph1;dnajb2;eif2ak1;ero1l;tusc3;stt3a;nfe2l2;dnajb1;hsp90ab1;dad1;atf6;atf4;rpn2;rpn1;sec61a2;ube2j1;atf6b;cul1;map3k5;mapk9;hspa1a;bax	Yod1_31513;Lman2_75351;Hsph1_69147;Dnajb2_31695;Eif2ak1_62311;Ero1l_68424;Tusc3_67422;Stt3a_77239;Nfe2l2_78402;Dnajb1_30167;Hsp90ab1_70484;Dad1_57707;Atf6_30137;Atf4_29798;Rpn2_31058;Rpn1_74029;Sec61a2_64195;Ube2j1_31410;Atf6b_76841;Cul1_29134,Cul1_31957;Map3k5_71001;Mapk9_30619;Hspa1a_69206;Bax_29957	226418(-0.5723);56812(0.3808);50527(-0.8048);80286(0.4023);16430(-0.3557);15516(-0.6984);103963(-0.5444);12915(0.1846);26965(-0.9311);26408(0.2049)	15.847900416666668	16.242150000000002	1.99567	8.434263745175791	14.981358088869346	7.376241607832484	10.235588708333331	10.211960000000001	0.769009	6.1023483085427745	9.644876965296294	5.377135432066051	27.860337916666666	22.548	6.93092	14.918008536667577	25.845014018079965	12.08038107148142	7.5	12.60275	15.5	18.970100000000002	1.99567;13.4057;22.9139;20.3514;18.1291;18.0893;8.40379;17.6579;7.14711;39.9244;22.0597;4.94027;13.9166;7.71559;22.0178;12.0279;18.8976;13.1776;7.09664;19.0426;29.102;19.8793;14.8264;7.63134	0.769009;9.65824;15.4056;14.2142;10.4298;9.85279;5.66917;12.3603;2.94251;28.9307;11.6181;3.39461;9.99412;4.79565;17.188;7.10007;12.5419;5.40845;3.82104;14.302700000000002;15.1554;14.6634;10.5847;4.85367	6.93092;21.1536;43.5606;36.3931;19.4463;19.0124;14.6766;29.9823;22.2453;64.8928;38.4852;8.79019;22.1349;66.0683;36.8885;19.0844;22.3313;24.2334;17.1169;22.764699999999998;37.9937;33.6772;23.9319;16.8536	13	12	13	226418;66890;15505;56812;15467;50527;18024;81489;15516;226641;12915;193740;12028	Yod1_31513;Lman2_75351;Hsph1_69147;Dnajb2_31695;Eif2ak1_62311;Ero1l_68424;Nfe2l2_78402;Dnajb1_30167;Hsp90ab1_70484;Atf6_30137;Atf6b_76841;Hspa1a_69206;Bax_29957	15.960558461538463	14.8264	9.665053402429502	10.236498384615384	9.99412	7.115659141767	27.089039999999997	22.1349	15.122494431600895	1.99567;13.4057;22.9139;20.3514;18.1291;18.0893;7.14711;39.9244;22.0597;13.9166;7.09664;14.8264;7.63134	0.769009;9.65824;15.4056;14.2142;10.4298;9.85279;2.94251;28.9307;11.6181;9.99412;3.82104;10.5847;4.85367	6.93092;21.1536;43.5606;36.3931;19.4463;19.0124;22.2453;64.8928;38.4852;22.1349;17.1169;23.9319;16.8536	11	80286;16430;13135;11911;20014;103963;57743;56228;26965;26408;26420	Tusc3_67422;Stt3a_77239;Dad1_57707;Atf4_29798;Rpn2_31058;Rpn1_74029;Sec61a2_64195;Ube2j1_31410;Cul1_29134,Cul1_31957;Map3k5_71001;Mapk9_30619	15.71475909090909	17.6579	7.175147659642211	10.234513636363637	12.3603	4.9889656090100925	28.77187181818182	24.2334	15.353921047456778	8.40379;17.6579;4.94027;7.71559;22.0178;12.0279;18.8976;13.1776;19.0426;29.102;19.8793	5.66917;12.3603;3.39461;4.79565;17.188;7.10007;12.5419;5.40845;14.302700000000002;15.1554;14.6634	14.6766;29.9823;8.79019;66.0683;36.8885;19.0844;22.3313;24.2334;22.764699999999998;37.9937;33.6772	0						Exp 2,1(0.04);Exp 4,3(0.12);Exp 5,2(0.08);Hill,11(0.44);Linear,5(0.2);Poly 2,3(0.12)	4.9008104005430315	162.8548947572708	1.9102615118026733	27.822269439697266	5.941553113126124	4.3934783935546875	12.473492136483095	19.22230869685023	7.794140908851254	12.677036507815416	21.89189146409121	33.82878436924212	CONFLICT	0.5416666666666666	0.4583333333333333	0.0	
